entry_at,field1,field2
2022-07-12 08:49:05,54.2,23.3
2022-07-12 08:49:45,54.14,23.23
2022-07-12 08:50:25,54.67,23.13
2022-07-12 08:51:05,55.24,23.01
2022-07-12 08:51:45,55.49,22.81
2022-07-12 08:52:25,55.93,22.73
2022-07-12 08:53:05,55.87,22.63
2022-07-12 08:53:45,55.96,22.51
2022-07-12 08:54:25,56.48,22.43
2022-07-12 08:55:05,55.98,22.35
2022-07-12 08:55:45,56.18,22.28
2022-07-12 08:56:25,56.3,22.24
2022-07-12 08:57:05,56.52,22.24
2022-07-12 08:57:45,57.28,22.4
2022-07-12 08:58:25,53.26,24.39
2022-07-12 08:59:05,53.69,24.53
2022-07-12 08:59:45,53.79,24.84
2022-07-12 09:00:25,52.26,25.76
2022-07-12 09:01:05,52.66,25.99
2022-07-12 09:01:45,52.11,26.07
2022-07-12 09:02:25,51.2,26.04
2022-07-12 09:03:05,50.32,25.87
2022-07-12 09:03:45,50.15,25.61
2022-07-12 09:04:25,50.31,25.33
2022-07-12 09:05:05,50.36,25.05
2022-07-12 09:05:45,51.86,24.48
2022-07-12 09:06:25,52.56,24.21
2022-07-12 09:07:05,53.1,24
2022-07-12 09:07:45,53.62,23.8
2022-07-12 09:08:25,52.97,23.56
2022-07-12 09:09:05,54.08,22.84
2022-07-12 09:09:45,55.1,22.4
2022-07-12 09:10:25,56.1,22.29
2022-07-12 09:11:05,55.23,22.16
2022-07-12 09:11:45,54.74,22.03
2022-07-12 09:12:25,54.43,21.91
2022-07-12 09:13:05,55.4,21.84
2022-07-12 09:13:45,56.22,21.73
2022-07-12 09:14:25,56.25,21.64
2022-07-12 09:15:05,57.11,21.57
2022-07-12 09:15:45,57.32,21.51
2022-07-12 09:16:25,57.01,21.43
2022-07-12 09:17:05,56.7,21.36
2022-07-12 09:17:45,57.71,21.23
2022-07-12 09:18:25,57.2,21.19
2022-07-12 09:19:05,57.75,21.1
2022-07-12 09:19:45,58.22,21.05
2022-07-12 09:20:25,58.32,20.98
2022-07-12 09:21:05,57.91,20.94
2022-07-12 09:21:45,58,20.92
2022-07-12 09:22:25,58.73,20.81
2022-07-12 09:23:05,58.93,20.76
2022-07-12 09:23:45,59.04,20.66
2022-07-12 09:24:25,59.43,20.64
2022-07-12 09:25:05,60.37,20.54
2022-07-12 09:25:45,60.64,20.54
2022-07-12 09:26:25,61.26,20.52
2022-07-12 09:27:05,60.06,20.45
2022-07-12 09:27:45,60.06,20.4
2022-07-12 09:28:25,60.09,20.37
2022-07-12 09:29:05,60.71,20.34
2022-07-12 09:29:45,60.64,20.29
2022-07-12 09:30:25,60.5,20.27
2022-07-12 09:31:05,60.72,20.25
2022-07-12 09:31:45,61.43,20.22
2022-07-12 09:32:25,61.14,20.19
2022-07-12 09:33:05,61.3,20.17
2022-07-12 09:33:45,61.36,20.13
2022-07-12 09:34:25,61.04,20.12
2022-07-12 09:35:05,61.46,20.09
2022-07-12 09:35:45,61.36,20.06
2022-07-12 09:36:25,61.7,20.03
2022-07-12 09:37:05,61.02,20.02
2022-07-12 09:37:45,61.39,20
2022-07-12 09:38:25,61.27,20
2022-07-12 09:39:05,61.48,19.98
2022-07-12 09:39:45,61.73,19.98
2022-07-12 09:40:25,62.01,19.96
2022-07-12 09:41:05,62.16,19.96
2022-07-12 09:41:45,61.96,19.99
2022-07-12 09:42:25,61.81,19.97
2022-07-12 09:43:05,61.8,19.96
2022-07-12 09:43:45,61.65,19.97
2022-07-12 09:44:25,61.91,19.96
2022-07-12 09:45:05,62.11,19.97
2022-07-12 09:45:45,62.29,19.96
2022-07-12 09:46:25,63.19,19.97
2022-07-12 09:47:05,62.67,19.96
2022-07-12 09:47:45,62.15,19.96
2022-07-12 09:48:25,62.16,19.95
2022-07-12 09:49:05,62.07,19.95
2022-07-12 09:49:45,62.37,19.94
2022-07-12 09:50:25,62.17,19.95
2022-07-12 09:51:05,62.08,19.93
2022-07-12 09:51:45,62.61,19.94
2022-07-12 09:52:25,62.15,19.94
2022-07-12 09:53:05,62.43,19.94
2022-07-12 09:53:45,62.73,19.94
2022-07-12 09:54:25,62.41,19.94
2022-07-12 09:55:05,62.53,19.96
2022-07-12 09:55:45,62.31,19.94
2022-07-12 09:56:25,62.34,19.94
2022-07-12 09:57:05,62.46,19.94
2022-07-12 09:57:45,62.2,19.95
2022-07-12 09:58:25,62.5,19.95
2022-07-12 09:59:05,62.37,19.93
2022-07-12 09:59:45,62.07,19.93
2022-07-12 10:00:25,62.25,19.93
2022-07-12 10:01:05,62.38,19.92
2022-07-12 10:01:45,62.48,19.91
2022-07-12 10:02:25,62.74,19.92
2022-07-12 10:03:05,62.5,19.9
2022-07-12 10:03:45,62.55,19.9
2022-07-12 10:04:25,62.64,19.9
2022-07-12 10:05:05,62.02,19.89
2022-07-12 10:05:45,62.13,19.88
2022-07-12 10:06:25,61.68,19.88
2022-07-12 10:07:05,61.26,19.88
2022-07-12 10:07:45,61.08,19.86
2022-07-12 10:08:25,60.84,19.88
2022-07-12 10:09:05,60.64,19.9
2022-07-12 10:09:45,61.53,19.9
2022-07-12 10:10:25,61.44,19.9
2022-07-12 10:11:05,60.77,19.91
2022-07-12 10:11:45,61.36,19.92
2022-07-12 10:12:25,61.87,19.94
2022-07-12 10:13:05,58.59,19.94
2022-07-12 10:13:45,57.66,19.98
2022-07-12 10:14:25,58.73,19.99
2022-07-12 10:15:05,59.65,20.01
2022-07-12 10:15:45,59.8,19.97
2022-07-12 10:16:25,59.88,19.97
2022-07-12 10:17:05,59.54,19.97
2022-07-12 10:17:45,60.25,19.96
2022-07-12 10:18:25,60.33,19.95
2022-07-12 10:19:05,60.53,19.95
2022-07-12 10:19:45,60.77,19.94
2022-07-12 10:20:25,61.07,19.95
2022-07-12 10:21:05,61.01,19.93
2022-07-12 10:21:45,61.02,19.93
2022-07-12 10:22:25,60.98,19.91
2022-07-12 10:23:05,60.5,19.91
2022-07-12 10:23:45,60.91,19.9
2022-07-12 10:24:25,60.54,19.92
2022-07-12 10:25:05,60.78,19.91
2022-07-12 10:25:45,61.06,19.92
2022-07-12 10:26:25,61.17,19.91
2022-07-12 10:27:05,61.94,19.92
2022-07-12 10:27:45,62.27,19.94
2022-07-12 10:28:25,61.61,19.95
2022-07-12 10:29:05,62.03,19.96
2022-07-12 10:29:45,61.61,19.97
2022-07-12 10:30:25,61.81,19.98
2022-07-12 10:31:05,61.99,20
2022-07-12 10:31:45,61.51,20
2022-07-12 10:32:25,61.7,20.01
2022-07-12 10:33:05,61.79,20.02
2022-07-12 10:33:45,61.53,20.02
2022-07-12 10:34:25,60.54,20.03
2022-07-12 10:35:05,60.3,20.03
2022-07-12 10:35:45,60.68,20.05
2022-07-12 10:36:25,60.25,20.04
2022-07-12 10:37:05,60.47,20.05
2022-07-12 10:37:45,60.09,20.04
2022-07-12 10:38:25,60.52,20.05
2022-07-12 10:39:05,60.64,20.05
2022-07-12 10:39:45,60.56,20.05
2022-07-12 10:40:25,60.7,20.05
2022-07-12 10:41:05,61.16,20.07
2022-07-12 10:41:45,61.13,20.08
2022-07-12 10:42:25,60.41,20.08
2022-07-12 10:43:05,59.28,20.12
2022-07-12 10:43:45,59.27,20.16
2022-07-12 10:44:25,58.81,20.21
2022-07-12 10:45:05,58.9,20.22
2022-07-12 10:45:45,58.21,20.24
2022-07-12 10:46:25,58.61,20.31
2022-07-12 10:47:05,58.2,20.46
2022-07-12 10:47:45,58.64,20.49
2022-07-12 10:48:25,59.33,20.55
2022-07-12 10:49:05,59.54,20.56
2022-07-12 10:49:45,59.59,20.51
2022-07-12 10:50:25,60.01,20.54
2022-07-12 10:51:05,60.21,20.56
2022-07-12 10:51:45,60.25,20.56
2022-07-12 10:52:25,59.87,20.59
2022-07-12 10:53:05,58.49,20.61
2022-07-12 10:53:45,59.25,20.65
2022-07-12 10:54:25,59.88,20.67
2022-07-12 10:55:05,60.13,20.69
2022-07-12 10:55:45,60.45,20.72
2022-07-12 10:56:25,60.28,20.78
2022-07-12 10:57:05,59.89,21.04
2022-07-12 10:57:45,60.2,21.8
2022-07-12 10:58:25,59.82,22.37
2022-07-12 10:59:05,58.81,23
